client_id,marks,time,mark
1058930,2,52.23,0
1055681,5,78.25,1
1057784,4,36.87,1
1015250,1,13.84,0
1040648,5,103.63,1
1049800,5,64.83,1
1055624,2,55.6,0
1047430,5,20.3,1
1060568,1,18.42,0
1049258,5,100.48,1
1056050,1,5.29,0
1061651,4,89.51,1
1059704,4,39.44,1
1052979,5,28.25,1
1051385,5,70.74,1
1058456,4,75.11,1
1051625,5,81.91,1
1047261,2,20.41,0
1047593,3,9.78,0
1057802,4,52.57,1
1044991,5,40.52,1
1050646,3,44.87,0
1057863,1,11.21,0
1002322,3,39.59,0
1053853,2,69.13,0
1055128,2,36.63,0
1055692,4,19.77,1
1050818,5,101.36,1
1058257,5,37.03,1
1059171,5,95.89,1
1056993,5,102.67,1
1056508,5,101.4,1
1047524,2,63.13,0
1046158,5,91.23,1
1060916,1,8.95,0
1048875,5,69.83,1
1014970,5,46.05,1
1054108,4,17.62,1
1012987,4,71.63,1
1030857,5,121.9,1
1050814,4,84.92,1
1057405,5,45.56,1
1050005,5,30.89,1
1060314,2,72.82,0
1062184,3,88.97,0
1052537,5,26.65,1
1035858,1,18.45,0
1057465,5,86.95,1
1043803,1,23.54,0
1027877,5,88.77,1
1019558,4,114.69,1
1055312,5,40.18,1
1048813,5,130.39,1
1053119,1,22.76,0
1052228,5,42.75,1
1000474,4,96.53,1
1014440,5,60.71,1
1047692,5,110.74,1
1056395,4,30.95,1
1010095,5,41.23,1
1052385,5,72.3,1
1044069,4,100.11,1
1054538,5,44.52,1
1037473,4,23.66,1
1057749,5,83.9,1
1057810,5,76.27,1
1018788,4,101.75,1
1057690,3,85.76,0
1015975,3,77.88,0
1043267,4,46.71,1
1060196,5,45.42,1
1053597,5,122.66,1
1018310,5,22.49,1
1051738,2,114.76,0
1048414,5,54.65,1
1058527,3,68.89,0
1047294,5,60.18,1
1058887,4,117.98,1
1050361,4,42.66,1
1052855,5,88.15,1
1049765,1,13.45,0
1045019,5,50.13,1
1007160,4,35.83,1
1048285,5,0.81,1
1045758,2,83.64,0
1050136,5,81.14,1
1060086,5,35.58,1
1047915,5,86.8,1
1057929,2,1.43,0
1005230,5,51.02,1
1042857,4,55.13,1
1047534,1,12.04,0
1051268,5,82.78,1
1045042,3,69.6,0
1049359,5,86.91,1
101502,4,78.5,1
1050130,4,83.96,1
1047220,5,58.7,1
1004818,4,90.05,1
1052188,5,73.22,1
1046864,5,57.29,1
1054291,4,104.5,1
1046676,2,31.33,0
1053222,4,89.96,1
1052598,5,44.51,1
1061521,5,106.72,1
1049448,5,56.03,1
1053214,3,88.52,0
1052803,2,69.76,0
1050544,2,52.22,0
1055358,5,76.87,1
1060077,5,79.19,1
1052946,5,53.24,1
1043025,5,46.08,1
1043352,2,87.7,0
1052346,5,89.87,1
1037770,1,12.09,0
1012498,5,117.05,1
1055737,2,75.52,0
1049412,4,129.01,1
1041870,5,61.08,1
1058425,5,52.88,1
1053090,5,73.98,1
1052127,5,54.13,1
1058678,5,52.89,1
1050257,5,95.49,1
1052662,4,104.86,1
1050829,4,55.15,1
1057685,4,88.3,1
1060687,5,90.56,1
1050604,5,79.63,1
1048619,2,65.76,0
1050316,5,76.76,1
1048696,5,155.49,1
1051695,4,36.81,1
1054100,3,52.7,0
1055187,4,104.81,1
1059655,5,41.15,1
1059069,3,66.93,0
1052401,2,11.87,0
1001183,1,16.66,0
1001153,2,37.84,0
1015566,3,74.34,0
1012593,3,38.56,0
1047821,5,114.22,1
1049917,5,39.82,1
1054384,5,13.84,1
1051150,5,79.89,1
1045302,4,97.7,1
1044553,5,35.94,1
1047569,5,98.59,1
1052130,5,97.95,1
1008995,4,123.58,1
1046327,2,52.96,0
1044389,4,1.01,1
1057092,5,58.29,1
1044068,3,21.23,0
1051079,5,73.29,1
1060464,2,23.44,0
